Région,Date,Cas-confirmés
Auvergne-Rhône-Alpes,2020-03-10,211
Bourgogne-Franche-Comté,2020-03-10,146
Bretagne,2020-03-10,81
Centre-Val de Loire,2020-03-10,18
Corse,2020-03-10,42
Grand Est,2020-03-10,464
Hauts-de-France,2020-03-10,209
Ile-de-France,2020-03-10,334
Normandie,2020-03-10,37
Nouvelle-Aquitaine,2020-03-10,54
Occitanie,2020-03-10,61
Pays de la Loire,2020-03-10,27
Provence-Alpes-Côte d’Azur,2020-03-10,89
Total Métropole,2020-03-10,1773
Guadeloupe,2020-03-10,0
Saint-Barthélémy,2020-03-10,1
Saint-Martin,2020-03-10,2
Guyane,2020-03-10,5
Martinique,2020-03-10,3
Mayotte,2020-03-10,0
La Réunion,2020-03-10,0
Total Outre Mer,2020-03-10,11
Auvergne-Rhône-Alpes,2020-03-11,264
Bourgogne-Franche-Comté,2020-03-11,155
Bretagne,2020-03-11,94
Centre-Val de Loire,2020-03-11,20
Corse,2020-03-11,51
Grand Est,2020-03-11,578
Hauts-de-France,2020-03-11,263
Ile-de-France,2020-03-11,492
Normandie,2020-03-11,54
Nouvelle-Aquitaine,2020-03-11,66
Occitanie,2020-03-11,87
Pays de la Loire,2020-03-11,34
Provence-Alpes-Côte d’Azur,2020-03-11,111
Total Métropole,2020-03-11,2269
Guadeloupe,2020-03-11,0
Saint-Barthélémy,2020-03-11,1
Saint-Martin,2020-03-11,2
Guyane,2020-03-11,5
Martinique,2020-03-11,3
Mayotte,2020-03-11,0
La Réunion,2020-03-11,1
Total Outre Mer,2020-03-11,12
Auvergne-Rhône-Alpes,2020-03-12,329
Bourgogne-Franche-Comté,2020-03-12,219
Bretagne,2020-03-12,117
Centre-Val de Loire,2020-03-12,30
Corse,2020-03-12,64
Grand Est,2020-03-12,699
Hauts-de-France,2020-03-12,349
Ile-de-France,2020-03-12,577
Normandie,2020-03-12,68
Nouvelle-Aquitaine,2020-03-12,87
Occitanie,2020-03-12,133
Pays de la Loire,2020-03-12,41
Provence-Alpes-Côte d’Azur,2020-03-12,147
Total Métropole,2020-03-12,2860
Guadeloupe,2020-03-12,0
Saint-Barthélémy,2020-03-12,1
Saint-Martin,2020-03-12,2
Guyane,2020-03-12,6
Martinique,2020-03-12,4
Mayotte,2020-03-12,0
La Réunion,2020-03-12,3
Total Outre Mer,2020-03-12,16
Auvergne-Rhône-Alpes,2020-03-13,416
Bourgogne-Franche-Comté,2020-03-13,272
Bretagne,2020-03-13,155
Centre-Val de Loire,2020-03-13,33
Corse,2020-03-13,85
Grand Est,2020-03-13,911
Hauts-de-France,2020-03-13,397
Ile-de-France,2020-03-13,721
Normandie,2020-03-13,97
Nouvelle-Aquitaine,2020-03-13,114
Occitanie,2020-03-13,172
Pays de la Loire,2020-03-13,55
Provence-Alpes-Côte d’Azur,2020-03-13,212
Total Métropole,2020-03-13,3640
Guadeloupe,2020-03-13,1
Saint-Barthélémy,2020-03-13,1
Saint-Martin,2020-03-13,2
Guyane,2020-03-13,6
Martinique,2020-03-13,6
Mayotte,2020-03-13,0
La Réunion,2020-03-13,5
Total Outre Mer,2020-03-13,21
Auvergne-Rhône-Alpes,2020-03-14,454
Bourgogne-Franche-Comté,2020-03-14,339
Bretagne,2020-03-14,182
Centre-Val de Loire,2020-03-14,54
Corse,2020-03-14,106
Grand Est,2020-03-14,1085
Hauts-de-France,2020-03-14,466
Ile-de-France,2020-03-14,949
Normandie,2020-03-14,127
Nouvelle-Aquitaine,2020-03-14,130
Occitanie,2020-03-14,214
Pays de la Loire,2020-03-14,82
Provence-Alpes-Côte d’Azur,2020-03-14,281
Total Métropole,2020-03-14,4469
Guadeloupe,2020-03-14,3
Saint-Barthélémy,2020-03-14,1
Saint-Martin,2020-03-14,2
Guyane,2020-03-14,7
Martinique,2020-03-14,10
Mayotte,2020-03-14,1
La Réunion,2020-03-14,6
Total Outre Mer,2020-03-14,30
Auvergne-Rhône-Alpes,2020-03-15,523
Bourgogne-Franche-Comté,2020-03-15,412
Bretagne,2020-03-15,207
Centre-Val de Loire,2020-03-15,71
Corse,2020-03-15,115
Grand Est,2020-03-15,1378
Hauts-de-France,2020-03-15,507
Ile-de-France,2020-03-15,1209
Normandie,2020-03-15,143
Nouvelle-Aquitaine,2020-03-15,144
Occitanie,2020-03-15,243
Pays de la Loire,2020-03-15,98
Provence-Alpes-Côte d’Azur,2020-03-15,330
Total Métropole,2020-03-15,5380
Guadeloupe,2020-03-15,6
Saint-Barthélémy,2020-03-15,3
Saint-Martin,2020-03-15,2
Guyane,2020-03-15,7
Martinique,2020-03-15,15
Mayotte,2020-03-15,1
La Réunion,2020-03-15,9
Total Outre Mer,2020-03-15,43
Auvergne-Rhône-Alpes,2020-03-16,618
Bourgogne-Franche-Comté,2020-03-16,507
Bretagne,2020-03-16,233
Centre-Val de Loire,2020-03-16,90
Corse,2020-03-16,126
Grand Est,2020-03-16,1543
Hauts-de-France,2020-03-16,585
Ile-de-France,2020-03-16,1762
Normandie,2020-03-16,156
Nouvelle-Aquitaine,2020-03-16,178
Occitanie,2020-03-16,262
Pays de la Loire,2020-03-16,108
Provence-Alpes-Côte d’Azur,2020-03-16,405
